,Feature Number,X Disp,Y Disp,X Abs,Y Abs
0,0,50.17905235290527,29.505538940429688,2015.8068466186523,1146.0539245605469
1,1,50.52992820739746,29.101600646972656,2259.044351577759,1216.8792343139648
2,2,50.556063652038574,28.78887176513672,2096.3192796707153,1134.9264907836914
3,3,52.608304023742676,28.19122314453125,2266.578755378723,1147.3603057861328
4,4,51.08174800872803,29.26586151123047,2298.5284280776978,1227.101173400879
5,5,52.04306602478027,29.302291870117188,2290.708808898926,1201.0301208496094
6,6,54.62428092956543,29.201068878173828,2243.7680053710938,1108.0384254455566
7,7,53.72809410095215,20.000438690185547,2109.22878742218,897.1978569030762
8,8,56.27646446228027,29.378528594970703,2286.400737762451,1104.2439460754395
9,9,57.0853328704834,29.457664489746094,2338.7266731262207,1117.1945571899414
10,10,60.4213285446167,28.21014404296875,2442.9567861557007,1062.045021057129
11,11,50.11732578277588,29.61212158203125,2005.6058263778687,1139.8930358886719
12,12,50.07342338562012,29.641151428222656,1986.5728569030762,1128.2512283325195
13,13,49.97321605682373,29.677886962890625,1964.9236822128296,1118.7326049804688
14,14,49.76334571838379,29.65087890625,1968.5826015472412,1117.1663665771484
15,15,49.68491077423096,30.095252990722656,1971.2268018722534,1128.514518737793
16,16,49.5463228225708,30.482330322265625,1965.854516029358,1138.4098815917969
17,17,49.315810203552246,30.642127990722656,1947.4072122573853,1140.6318283081055
18,18,47.85458564758301,31.28101348876953,1844.7772979736328,1105.4650497436523
19,19,50.40560245513916,29.035720825195312,2202.1697187423706,1191.0570526123047
20,20,50.127153396606445,27.775650024414062,2161.4093112945557,1138.021469116211
21,21,56.29005432128906,12.030925750732422,1981.9914293289185,828.4285163879395
22,22,54.00956153869629,22.05657958984375,2100.921678543091,909.4915008544922
23,23,53.706936836242676,21.11764907836914,2097.9740953445435,900.8402824401855
24,24,53.437557220458984,20.005512237548828,2090.133833885193,896.5178108215332
25,25,53.1727409362793,18.665733337402344,2072.436532974243,878.0504989624023
26,26,54.33358669281006,22.59876251220703,2110.3858137130737,920.5966567993164
27,27,54.887123107910156,23.3575439453125,2225.237488746643,972.924690246582
28,28,54.82712745666504,24.706954956054688,2221.2943840026855,983.8890838623047
29,29,54.73902225494385,21.327781677246094,2206.313238143921,951.1529541015625
30,30,54.42303657531738,19.631614685058594,2171.3047313690186,925.3194046020508
31,31,52.56731986999512,16.548900604248047,2029.6762990951538,858.0837059020996
32,32,45.4553747177124,25.475997924804688,1730.3886365890503,989.1159820556641
33,33,53.69349002838135,20.463790893554688,2103.2526111602783,901.0690689086914
34,34,52.84950256347656,11.297473907470703,1829.9579000473022,814.0041160583496
35,35,52.87510871887207,14.537029266357422,2004.3519258499146,832.0501518249512
36,36,50.63840389251709,21.59259796142578,2046.931357383728,960.7917404174805
37,37,49.995760917663574,28.06079864501953,2028.6408376693726,1129.1067123413086
38,38,49.738783836364746,28.440399169921875,1987.7708959579468,1109.1268920898438
39,39,49.58580493927002,26.90502166748047,1992.6234769821167,1094.3223190307617
40,40,49.344635009765625,25.94318389892578,1946.632890701294,1065.4177474975586
41,41,49.47395324707031,27.291526794433594,1958.910026550293,1083.6819076538086
42,42,49.29037570953369,26.308517456054688,1924.679675102234,1060.1715087890625
43,43,47.38464832305908,23.706207275390625,1826.7374753952026,987.91748046875
44,44,50.26718616485596,28.031578063964844,2263.953709602356,1196.6685104370117
45,45,50.823941230773926,28.100204467773438,2301.992211341858,1203.0858612060547
46,46,54.567975997924805,15.745849609375,2194.1819858551025,892.6260757446289
47,47,52.79384136199951,24.231109619140625,2107.8553533554077,981.844596862793
48,48,50.26381015777588,24.419326782226562,2130.3327798843384,1063.8407897949219
49,49,50.658087730407715,24.177474975585938,2120.601496696472,1044.1162872314453
50,50,50.179452896118164,17.226791381835938,1976.1894464492798,897.8580474853516
51,51,51.74380302429199,28.138504028320312,2288.8900566101074,1178.574104309082
52,52,55.49139976501465,20.64655303955078,2335.689868927002,979.3922805786133
53,53,55.14229774475098,18.012161254882812,2280.4134464263916,936.8289566040039
54,54,57.467007637023926,14.366378784179688,2147.84969329834,829.8298645019531
55,55,55.93897819519043,26.53087615966797,2311.949529647827,1067.8061294555664
56,56,54.923014640808105,25.166950225830078,2195.221953392029,979.7890281677246
57,57,47.67067909240723,22.313499450683594,1848.7577819824219,976.502799987793
58,58,47.657103538513184,12.283287048339844,1403.976058959961,706.6434097290039
59,59,50.14358997344971,25.541648864746094,2105.106568336487,1079.6670150756836
60,60,50.17621994018555,26.65393829345703,2107.291088104248,1094.1269302368164
61,61,49.03391361236572,24.593162536621094,1868.6747217178345,1021.8274307250977
62,62,49.023399353027344,24.816246032714844,1871.321439743042,1027.2327041625977
63,63,55.64618110656738,16.58100128173828,2280.7939624786377,918.6274719238281
64,64,50.12218952178955,24.209365844726562,2081.030945777893,1037.5421905517578
65,65,55.6463098526001,23.49945068359375,2350.1621532440186,1021.0682678222656
66,66,56.28633499145508,22.81810760498047,2393.435854911804,1026.4762496948242
67,67,59.122281074523926,20.983219146728516,2410.0601148605347,934.4014549255371
68,68,56.49008274078369,15.856094360351562,2224.125967025757,869.2425537109375
69,69,57.641258239746094,22.10214614868164,2416.0359621047974,986.3149070739746
70,70,54.95987892150879,14.501380920410156,2168.1713104248047,867.6074600219727
71,71,55.49835205078125,13.392448425292969,2076.816372871399,832.6833343505859
72,72,49.86013412475586,28.335647583007812,2013.061637878418,1119.614486694336
73,73,49.51659679412842,27.170333862304688,1979.422402381897,1089.0612030029297
74,74,49.331374168395996,26.17595672607422,1938.61168384552,1062.866554260254
75,75,50.14660835266113,25.849952697753906,2092.266798019409,1076.6200637817383
76,76,49.04003620147705,24.727821350097656,1870.3354024887085,1024.603614807129
77,77,49.15107250213623,25.25745391845703,1893.9386701583862,1039.161720275879
78,78,49.019479751586914,24.991111755371094,1872.5244140625,1030.4904556274414
79,79,50.08267879486084,26.364402770996094,2180.716710090637,1130.5439376831055
80,80,49.25313949584961,26.406211853027344,1909.134750366211,1058.301887512207
81,81,49.403672218322754,27.413368225097656,1942.1279668807983,1080.871925354004
82,82,49.632110595703125,28.537940979003906,1963.8467502593994,1103.227653503418
83,83,47.22769260406494,29.498748779296875,1841.7951822280884,1077.0230102539062
84,84,48.91937255859375,29.14764404296875,1954.5885944366455,1117.9176330566406
85,85,49.18019771575928,29.047164916992188,1970.6931638717651,1116.4698791503906
86,86,49.319443702697754,28.766822814941406,1972.086968421936,1109.274559020996
87,87,49.480834007263184,28.383331298828125,1964.9039697647095,1101.2736511230469
88,88,49.24651622772217,26.199073791503906,1912.3953580856323,1058.7591934204102
89,89,49.19450283050537,26.161231994628906,1919.4696950912476,1058.6833572387695
90,90,49.14942741394043,26.044998168945312,1921.523838043213,1058.4178161621094
91,91,49.066057205200195,25.92449188232422,1918.672456741333,1056.209831237793
92,92,48.5648775100708,23.476181030273438,1973.9334726333618,1010.9224700927734
93,93,50.308828353881836,10.443878173828125,1527.6804542541504,756.7713928222656
94,94,50.41603088378906,29.003372192382812,2147.486057281494,1164.2076110839844
95,95,49.16619300842285,25.5499267578125,1881.6697883605957,1042.6946258544922
96,96,49.136338233947754,25.437088012695312,1890.7000207901,1042.3854064941406
97,97,50.04472732543945,26.933326721191406,2096.875162124634,1096.7287063598633
98,98,50.004544258117676,24.58698272705078,2043.5938024520874,1029.1665267944336
99,99,50.081448554992676,26.800079345703125,2103.097643852234,1095.718002319336
100,100,52.27526664733887,22.69561767578125,2078.7916946411133,950.9186172485352
101,101,51.407461166381836,20.591506958007812,2060.059747695923,932.8944396972656
102,102,50.45032024383545,23.85875701904297,2081.5753412246704,1022.2649002075195
103,103,58.4725284576416,17.30764389038086,2294.239640235901,865.8797264099121
104,104,57.28879451751709,18.653011322021484,2338.617854118347,925.0129890441895
105,105,56.07107162475586,19.54916000366211,2361.650447845459,972.1917915344238
106,106,47.162532806396484,25.176544189453125,1832.6414680480957,1013.4462738037109
107,107,56.786441802978516,26.313438415527344,2378.312473297119,1080.2347564697266
108,108,58.185081481933594,25.224647521972656,2429.636549949646,1035.977554321289
109,109,59.77708339691162,24.49176788330078,2456.398730278015,990.5216598510742
110,110,53.25782775878906,19.02606964111328,2075.9317445755005,885.3388595581055
111,111,51.944546699523926,14.327430725097656,1978.0661344528198,837.4195861816406
112,112,54.49280261993408,22.911529541015625,2125.7248163223267,930.4702758789062
113,113,53.81276607513428,16.83523178100586,2116.526141166687,878.6939430236816
114,114,53.31451892852783,25.447540283203125,2143.9393186569214,1013.1664657592773
115,115,50.38857936859131,25.499114990234375,2196.30699634552,1113.119125366211
116,116,51.39996528625488,13.096504211425781,1890.3700160980225,819.0496826171875
117,117,51.49276256561279,15.409698486328125,2003.7735271453857,863.2516860961914
118,118,51.3314151763916,17.482337951660156,2041.531662940979,895.2653884887695
119,119,51.884765625,20.3753662109375,2067.455949783325,914.2990112304688
120,120,52.624125480651855,22.26665496826172,2081.224579811096,928.9419174194336
121,121,53.18213939666748,23.73485565185547,2101.770329475403,956.359748840332
122,122,54.2691707611084,27.942256927490234,2234.697217941284,1083.1704902648926
123,123,50.074167251586914,13.376693725585938,1827.7464437484741,813.5341644287109
124,124,53.79971981048584,15.159797668457031,2092.8405046463013,858.6275863647461
125,125,50.198936462402344,28.38512420654297,2209.336938858032,1179.3471908569336
126,126,51.96817874908447,24.37572479248047,2105.815644264221,1005.6693649291992
127,127,53.18458557128906,10.046882629394531,1701.9751739501953,799.7523880004883
128,128,53.69231700897217,25.02460479736328,2130.652413368225,988.1078338623047
129,129,50.59822082519531,23.43719482421875,2046.6969108581543,997.2421264648438
130,130,53.290700912475586,18.323516845703125,2086.7823028564453,876.5158081054688
131,131,50.91982841491699,25.278663635253906,2179.45481300354,1088.1184768676758
132,132,49.012370109558105,11.10015869140625,1456.8662309646606,732.8340148925781
133,133,54.458656311035156,23.105392456054688,2129.8471355438232,932.9885101318359
134,134,51.39577388763428,26.77886962890625,2246.53537273407,1138.5233306884766
135,135,46.27308368682861,16.86492919921875,1563.5686254501343,806.9635772705078
136,136,45.67202568054199,16.496963500976562,1430.9258365631104,743.5331726074219
137,137,50.075740814208984,11.554718017578125,1653.0776166915894,790.5123901367188
138,138,46.97587966918945,14.567070007324219,1523.973126411438,754.7206497192383
139,139,54.29217338562012,12.167186737060547,1949.0375661849976,824.4207191467285
140,140,44.683756828308105,25.22411346435547,1671.6760396957397,974.9180221557617
141,141,50.26296615600586,28.52935791015625,2155.3392219543457,1154.925765991211
142,142,51.45383834838867,23.126678466796875,2066.7542552948,975.1902008056641
143,143,52.77714729309082,12.92694091796875,1944.4112491607666,815.7259750366211
144,144,53.982510566711426,20.3125,2121.2956380844116,901.5473175048828
145,145,54.17600154876709,21.104354858398438,2124.5157194137573,905.3668212890625
146,146,49.06757354736328,25.11791229248047,1888.888349533081,1035.4453659057617
147,147,48.97041320800781,13.731307983398438,1734.2826461791992,797.9911041259766
148,148,44.41892623901367,28.33953857421875,1625.1323318481445,1001.8778228759766
149,149,44.46726322174072,22.427711486816406,1539.9938535690308,883.5556411743164
150,150,44.881510734558105,19.592361450195312,1488.0486631393433,818.9524841308594
151,151,58.80480766296387,28.489665985107422,2404.905023574829,1086.4650535583496
152,152,45.26540279388428,31.326942443847656,1632.486720085144,1050.8952713012695
153,153,54.33457374572754,21.81802749633789,2124.182424545288,909.8530006408691
154,154,54.530653953552246,22.27611541748047,2124.770121574402,914.4999313354492
155,155,54.49587821960449,22.529678344726562,2127.3865127563477,920.652961730957
156,156,53.973097801208496,13.745841979980469,2047.562985420227,828.2705688476562
157,157,54.644150733947754,27.61638641357422,2149.920287132263,1003.3771133422852
158,158,54.41267967224121,29.929542541503906,2157.3527240753174,1046.952018737793
159,159,54.612793922424316,30.01211166381836,2161.489520072937,1057.0798301696777
160,160,54.772067070007324,27.93048858642578,2151.8401193618774,1029.3439865112305
161,161,54.60310935974121,25.056476593017578,2137.0668411254883,982.7454566955566
162,162,54.92607593536377,10.76944351196289,1838.064980506897,820.9817695617676
163,163,53.893489837646484,19.9774169921875,2115.7845640182495,898.8382339477539
164,164,50.37923812866211,28.82537841796875,2060.3332328796387,1130.2813720703125
165,165,49.08383846282959,24.635887145996094,2014.2236280441284,1036.1883163452148
166,166,50.14449119567871,25.61748504638672,2129.9248695373535,1094.5398330688477
167,167,49.89217758178711,27.13001251220703,2066.8460655212402,1100.153694152832
168,168,55.56869029998779,29.276695251464844,2239.1847467422485,1084.0065002441406
169,169,45.51727294921875,19.616966247558594,1593.4420108795166,862.5165939331055
170,170,45.01964092254639,22.22858428955078,1627.8548097610474,914.742546081543
171,171,44.80414867401123,28.22673797607422,1705.2940893173218,1026.953468322754
172,172,46.57329082489014,14.16351318359375,1398.4998178482056,699.1035461425781
173,173,54.53041076660156,24.639911651611328,2139.1401386260986,953.6464500427246
174,174,52.982683181762695,26.86168670654297,2209.996461868286,1082.6720809936523
175,175,45.60762405395508,31.34387969970703,1708.6799240112305,1078.4305953979492
176,176,44.250569343566895,25.394210815429688,1592.8658723831177,948.8761138916016
177,177,48.89293670654297,12.059249877929688,1568.8618612289429,768.4578704833984
178,178,49.30705547332764,27.18608856201172,1943.1425142288208,1081.136360168457
179,179,49.18879508972168,27.31525421142578,1952.6083087921143,1084.5363235473633
180,180,49.065842628479004,27.35218048095703,1953.0466032028198,1085.6290817260742
181,181,48.86545658111572,27.290115356445312,1945.3633546829224,1086.3700866699219
182,182,47.02198505401611,27.188339233398438,1839.1578340530396,1044.3948364257812
183,183,49.220852851867676,25.485458374023438,1892.9569387435913,1041.3418579101562
184,184,49.19973850250244,25.34423828125,1900.4680967330933,1041.1894989013672
185,185,49.19692039489746,25.186614990234375,1903.354196548462,1040.4286193847656
186,186,48.11652660369873,22.592086791992188,1919.1588735580444,992.5531768798828
187,187,48.80558967590332,16.03473663330078,1834.0686893463135,856.3366317749023
188,188,53.79172325134277,26.717147827148438,2191.5882682800293,1049.7892379760742
189,189,55.05190372467041,25.400676727294922,2181.2523794174194,992.4201011657715
190,190,54.879140853881836,24.501781463623047,2161.028938293457,961.6475868225098
191,191,49.1942024230957,25.640106201171875,1882.9127025604248,1042.2337341308594
192,192,47.715396881103516,15.722579956054688,1676.8115615844727,816.0746002197266
193,193,55.38094997406006,27.619171142578125,2219.0270376205444,1048.2915115356445
194,194,46.21377468109131,26.121063232421875,1775.3225755691528,1007.6138305664062
195,195,52.90915489196777,29.294815063476562,2270.8480167388916,1168.4550857543945
196,196,53.394126892089844,28.077011108398438,2251.143636703491,1116.2146759033203
197,197,53.72141361236572,29.2559814453125,2256.665997505188,1138.2761764526367
198,198,51.71607971191406,25.579757690429688,2161.9353675842285,1065.2934265136719
199,199,46.20828151702881,31.174392700195312,1765.352282524109,1088.0474853515625
200,200,47.03224182128906,31.175384521484375,1805.5704975128174,1093.8267517089844
201,201,46.40510559082031,28.850746154785156,1798.3282470703125,1054.3330001831055
202,202,46.8568754196167,22.00847625732422,1774.6885442733765,948.3982467651367
203,203,49.87807273864746,22.50049591064453,2013.8956260681152,975.8029556274414
204,204,46.39035701751709,23.888206481933594,1763.610692024231,972.9572677612305
205,205,49.55660820007324,19.544029235839844,1994.5775985717773,940.2896499633789
206,206,49.080448150634766,21.550140380859375,1983.6191368103027,969.5255279541016
207,207,48.56462001800537,18.39752197265625,1889.0131616592407,909.2161560058594
208,208,45.50276756286621,28.348770141601562,1760.236930847168,1040.437240600586
209,209,51.326894760131836,24.408912658691406,2105.3409576416016,1024.3084335327148
210,210,46.23918056488037,20.46001434326172,1695.5750799179077,907.0319747924805
211,211,45.699520111083984,22.923240661621094,1707.5781154632568,946.414909362793
212,212,47.4129581451416,20.536231994628906,1807.9913520812988,935.8099746704102
213,213,48.16553592681885,14.122657775878906,1655.092134475708,784.1704177856445
214,214,47.2300386428833,18.156585693359375,1725.37043094635,875.2878570556641
215,215,47.86633014678955,12.860069274902344,1516.8801641464233,748.9155197143555
216,216,48.25657367706299,20.69538116455078,1915.479712486267,953.9870071411133
217,217,52.483906745910645,25.610084533691406,2154.8080015182495,1042.9226303100586
218,218,50.10366439819336,25.952720642089844,2192.5465393066406,1128.1452560424805
219,219,50.09865760803223,24.904518127441406,2130.7007217407227,1079.509162902832
220,220,50.58926582336426,26.746864318847656,2259.891586303711,1162.3231887817383
221,221,55.18117904663086,25.144786834716797,2233.262758255005,1006.4234352111816
222,222,55.11862277984619,23.61034393310547,2272.199864387512,996.5541458129883
223,223,55.086965560913086,21.65912628173828,2276.0618448257446,974.7717666625977
224,224,54.83725547790527,19.591617584228516,2246.7707777023315,946.1745262145996
225,225,54.38467025756836,17.821369171142578,2189.457678794861,911.9408226013184
226,226,53.061161041259766,16.363868713378906,2051.031732559204,854.5869445800781
227,227,51.3394832611084,11.287574768066406,1741.0952138900757,807.2932434082031
228,228,52.37485885620117,17.457141876220703,2041.5309476852417,873.4609031677246
229,229,52.395315170288086,18.875083923339844,2062.756862640381,893.1809234619141
230,230,52.77259826660156,20.69873809814453,2077.3438453674316,902.675895690918
231,231,53.316192626953125,22.216835021972656,2086.885929107666,916.1087417602539
232,232,53.81577014923096,23.189125061035156,2100.184235572815,933.6065673828125
233,233,54.10780906677246,24.048385620117188,2117.153205871582,955.999641418457
234,234,51.6546106338501,10.059165954589844,1606.2133884429932,776.0666656494141
235,235,50.0595760345459,24.85309600830078,2094.91925239563,1060.0730514526367
236,236,52.218217849731445,26.965980529785156,2225.3352069854736,1111.2506866455078
237,237,50.11641025543213,27.002105712890625,2244.0976667404175,1168.3194732666016
238,238,50.0377893447876,27.601318359375,2196.453366279602,1155.1695251464844
239,239,50.07338047027588,26.92413330078125,2205.7876539230347,1149.9742889404297
